City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,belaya gora,68.5333,146.4167,237.62,98,100,1.85,RU,1676241128
139,kirakira,-10.4544,161.9205,302.52,72,78,3.71,SB,1676241128
140,vao,-22.6667,167.4833,297.87,63,0,9.61,NC,1676241128
141,namatanai,-3.6667,152.4333,299.79,83,100,3.37,PG,1676241129
142,pontianak,-0.0333,109.3333,295.14,100,100,0.51,ID,1676241129
143,nome,64.5011,-165.4064,252.19,84,100,6.69,US,1676241129
144,leticia,-4.2153,-69.9406,297.18,100,100,2.57,CO,1676241130
145,sinnamary,5.3833,-52.95,297.83,90,86,5.54,GF,1676241130
146,makakilo city,21.3469,-158.0858,299.33,58,20,8.23,US,1676241131
147,berea,41.3662,-81.8543,286.64,39,20,2.06,US,1676241131
148,samarai,-10.6167,150.6667,301.14,75,98,1.26,PG,1676241131
149,wajima,37.4,136.9,280.65,88,100,6.32,JP,1676241132
150,valparaiso,-33.0393,-71.6273,297.28,60,0,4.63,CL,1676241050
151,dyurtyuli,55.4911,54.8688,262.08,92,100,4.86,RU,1676241132
152,aksha,50.2814,113.2867,256.61,79,1,2.52,RU,1676241133
153,bolobo,-2.1667,16.2333,296.35,85,75,1.86,CD,1676241133
154,port augusta,-32.5,137.7667,293.74,46,1,5.49,AU,1676241133
155,dudinka,69.4058,86.1778,259.71,92,100,10.47,RU,1676241134
156,boralday,43.3578,76.8594,261.07,92,59,2.0,KZ,1676241134
157,acoyapa,11.9703,-85.1711,303.2,52,7,9.0,NI,1676241135
158,nouadhibou,20.931,-17.0347,292.14,82,100,4.63,MR,1676241135
159,labuhan,-6.8844,112.2051,297.23,87,100,3.16,ID,1676241136
160,summerville,33.0185,-80.1757,284.15,88,100,5.66,US,1676241035
161,nicoya,10.1483,-85.452,302.04,50,21,9.29,CR,1676241136
162,bethel,41.3712,-73.414,279.62,50,100,0.73,US,1676241136
163,qaqortoq,60.7167,-46.0333,260.54,73,100,0.66,GL,1676241137
164,wattegama,6.7989,81.4808,291.92,95,83,1.52,LK,1676241137
165,mnogovershinnyy,53.9353,139.9242,246.34,96,18,1.43,RU,1676241137
166,ahipara,-35.1667,173.1667,291.07,93,100,12.11,NZ,1676241138
167,bichura,50.5881,107.6022,253.33,96,34,1.35,RU,1676241138
168,talaya,61.3833,152.75,242.71,98,100,0.52,RU,1676241139
169,la seyne-sur-mer,43.0982,5.8847,282.53,57,0,2.4,FR,1676241139
170,modasa,23.4667,73.3,289.89,21,0,3.77,IN,1676241139
171,jalu,29.0331,21.5482,283.66,51,30,3.7,LY,1676241140
172,lata,40.1629,-8.3327,286.93,69,95,2.88,PT,1676241140
173,zheshart,62.0731,49.5733,256.82,100,95,1.95,RU,1676241141
174,pertuis,43.6925,5.5028,273.79,64,0,1.43,FR,1676241141
175,tuktoyaktuk,69.4541,-133.0374,236.15,67,20,0.0,CA,1676241141
176,cooma,-36.2333,149.1333,288.44,60,86,1.7,AU,1676241142
177,bambous virieux,-20.3428,57.7575,299.29,73,40,3.09,MU,1676241142
178,kaitangata,-46.2817,169.8464,293.03,54,95,3.92,NZ,1676241143
179,rio gallegos,-51.6226,-69.2181,287.18,33,40,3.6,AR,1676241143
180,prince rupert,54.3161,-130.3201,281.2,81,100,4.12,CA,1676240965
181,jiangyou,31.7667,104.7167,281.17,66,100,0.66,CN,1676241144
182,lagoa,39.05,-27.9833,287.6,70,100,8.12,PT,1676241144
183,grindavik,63.8424,-22.4338,282.12,93,100,17.49,IS,1676240953
184,ous,60.9058,61.5186,262.57,96,100,2.6,RU,1676241145
185,norman wells,65.282,-126.8329,250.17,70,75,2.57,CA,1676241145
186,husavik,66.0449,-17.3389,273.45,75,100,6.63,IS,1676241040
187,mayo,38.8876,-76.5119,277.38,86,100,4.63,US,1676241146
188,canico,32.6333,-16.85,289.66,83,40,3.09,PT,1676241146
189,los llanos de aridane,28.6585,-17.9182,287.01,78,0,4.02,ES,1676240867
190,fredericksburg,38.3032,-77.4605,276.77,93,100,4.12,US,1676240872
191,cayenne,4.9333,-52.3333,298.17,94,100,2.57,GF,1676240926
192,jamestown,42.097,-79.2353,281.95,19,0,0.0,US,1676241032
